"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"
"CHEMBL175603"	""	"0"	"246.27"	"0"	"2.64"	"8"	"Fc1ccc(Sc2ncnc3[nH]cnc23)cc1"	"Inhibition"	"'='"	"0.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL832005"	"Inhibition of human c-Jun N-terminal kinase-1 alpha-1 at 30 uM"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141882"	"1"	"Scientific Literature"	"J. Med. Chem."	"2005"	"None"	""
"CHEMBL362629"	""	"0"	"243.25"	"0"	"2.25"	"6"	"Cn1cnc2c(Nc3ccc(F)cc3)ncnc21"	"Inhibition"	"'='"	"5.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL832005"	"Inhibition of human c-Jun N-terminal kinase-1 alpha-1 at 30 uM"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141882"	"1"	"Scientific Literature"	"J. Med. Chem."	"2005"	"None"	""
"CHEMBL175730"	""	"0"	"274.32"	"0"	"2.79"	"16"	"Cn1cnc2c(SCc3ccc(F)cc3)ncnc21"	"Inhibition"	"'='"	"10.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL832005"	"Inhibition of human c-Jun N-terminal kinase-1 alpha-1 at 30 uM"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141882"	"1"	"Scientific Literature"	"J. Med. Chem."	"2005"	"None"	""
"CHEMBL102346"	""	"0"	"485.54"	"0"	"4.79"	"21"	"COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC"	"NT"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL820294"	"Inhibition of c-Jun N-terminal kinase 1 (Not tested)"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1135502"	"1"	"Scientific Literature"	"J. Med. Chem."	"2002"	"None"	""
"CHEMBL1934353"	""	"0"	"568.10"	"1"	"3.85"	"14b"	"CN(c1ccccc1-c1cc(Cl)c2cnc(Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)nn12)S(C)(=O)=O"	"Inhibition"	"'='"	"36.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL1935875"	"Inhibition of MAPK8 at 1 uM"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1932974"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2012"	"None"	""
"CHEMBL219112"	""	"0"	"412.50"	"0"	"2.60"	"9i"	"CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(-c3ccsc3)n2)cc1"	"IC50"	"'='"	"81.0"	"nM"	"7.09"	""	""	"UO_0000065"	"17.19"	"0.35"	"4.49"	"5.63"	"1"	"CHEMBL902320"	"Inhibition of JNK1"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1138387"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2007"	"None"	""
"CHEMBL1946338"	""	"0"	"426.46"	"1"	"5.45"	"17"	"COc1ccc(Nc2ncc3nc(Nc4ccccc4F)n(-c4ccccc4)c3n2)cc1"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1947746"	"Inhibition of full length Hexa-His-tagged JNK1 using GST-tagged cJun and [gamma33P]ATP as substrate after 60 mins by scintillation counting"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1944604"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2012"	"None"	""
"CHEMBL221916"	""	"0"	"375.45"	"0"	"2.04"	"8a"	"C=Cc1c(N)cc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)nc1OCC"	"IC50"	"'='"	"1180.0"	"nM"	"5.93"	""	""	"UO_0000065"	""	""	""	""	"1"	"CHEMBL853925"	"Inhibition of JNK1 by ATF2 phosphorylation assay"	"F"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139733"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2006"	"None"	""
"CHEMBL245925"	""	"0"	"398.90"	"0"	"3.68"	"10"	"CCNC(=O)N1CCC(Nc2ncc(Cl)c(-n3ccc4ccccc43)n2)CC1"	"IC50"	"'='"	"457.0"	"nM"	"6.34"	""	""	"UO_0000065"	"15.89"	"0.31"	"2.66"	"8.44"	"0"	"CHEMBL886370"	"Inhibition of JNK1"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139954"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2007"	"None"	""
"CHEMBL425834"	""	"0"	"557.86"	"2"	"5.56"	"55"	"CN(C)CCCn1cc(CNc2cc(Br)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)nn1"	"IC50"	"'>'"	"40000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL896204"	"Inhibition of Jnk1"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1148782"	"1"	"Scientific Literature"	"J. Med. Chem."	"2007"	"None"	""
